Nation,Time,Confirmed Case,Death,Recover,timestamp
BHUTAN,2020-04-03 14:30:10,5.0,0.0,2.0,8260210
BHUTAN,2020-04-03 14:30:11,5.0,0.0,2.0,8260211
BHUTAN,2020-04-03 17:30:12,5.0,0.0,2.0,8271012
BHUTAN,2020-04-03 20:30:12,5.0,0.0,2.0,8281812
BHUTAN,2020-04-03 23:30:19,5.0,0.0,2.0,8292619
BHUTAN,2020-04-04 08:30:14,5.0,0.0,2.0,8325014
BHUTAN,2020-04-04 11:30:14,5.0,0.0,2.0,8335814
BHUTAN,2020-04-04 14:30:16,5.0,0.0,2.0,8346616
BHUTAN,2020-04-04 17:30:18,5.0,0.0,2.0,8357418
BHUTAN,2020-04-04 20:30:33,5.0,0.0,2.0,8368233
BHUTAN,2020-04-04 23:30:05,5.0,0.0,2.0,8379005
BHUTAN,2020-04-05 08:30:07,5.0,0.0,2.0,8411407
BHUTAN,2020-04-05 11:30:03,5.0,0.0,2.0,8422203
BHUTAN,2020-04-05 14:30:04,5.0,0.0,2.0,8433004
BHUTAN,2020-04-05 17:40:33,5.0,0.0,2.0,8444433
BHUTAN,2020-04-05 20:33:28,5.0,0.0,2.0,8454808
BHUTAN,2020-04-05 23:30:02,5.0,0.0,2.0,8465402
BHUTAN,2020-04-06 08:37:49,5.0,0.0,2.0,8498269
BHUTAN,2020-04-06 11:30:05,5.0,0.0,2.0,8508605
BHUTAN,2020-04-06 14:44:21,5.0,0.0,2.0,8520261
BHUTAN,2020-04-06 17:30:04,5.0,0.0,2.0,8530204
BHUTAN,2020-04-06 21:00:44,5.0,0.0,2.0,8542844
BHUTAN,2020-04-07 00:00:03,5.0,0.0,2.0,8553603
BHUTAN,2020-04-07 09:00:04,5.0,0.0,2.0,8586004
BHUTAN,2020-04-07 12:15:51,5.0,0.0,2.0,8597751
BHUTAN,2020-04-07 15:59:55,5.0,0.0,2.0,8611195
BHUTAN,2020-04-07 18:03:46,5.0,0.0,2.0,8618626
BHUTAN,2020-04-07 21:32:15,5.0,0.0,2.0,8631135
BHUTAN,2020-04-08 00:00:04,5.0,0.0,2.0,8640004
BHUTAN,2020-04-08 09:00:46,5.0,0.0,2.0,8672446
BHUTAN,2020-04-08 12:21:18,5.0,0.0,2.0,8684478
BHUTAN,2020-04-08 15:04:46,5.0,0.0,2.0,8694286
BHUTAN,2020-04-08 18:11:16,5.0,0.0,2.0,8705476
BHUTAN,2020-04-08 21:33:56,5.0,0.0,2.0,8717636
BHUTAN,2020-04-09 00:14:12,5.0,0.0,2.0,8727252
BHUTAN,2020-04-09 11:19:24,5.0,0.0,2.0,8767164
BHUTAN,2020-04-09 12:07:24,5.0,0.0,2.0,8770044
BHUTAN,2020-04-09 14:57:09,5.0,0.0,2.0,8780229
BHUTAN,2020-04-09 18:00:02,5.0,0.0,2.0,8791202
BHUTAN,2020-04-10 01:06:14,5.0,0.0,2.0,8816774
