Nation,Time,Confirmed Case,Death,Recover,timestamp
S. SUDAN,2020-04-03 14:30:10,0.0,0.0,0.0,8260210
S. SUDAN,2020-04-03 14:30:11,0.0,0.0,0.0,8260211
S. SUDAN,2020-04-03 17:30:12,0.0,0.0,0.0,8271012
S. SUDAN,2020-04-03 20:30:12,0.0,0.0,0.0,8281812
S. SUDAN,2020-04-03 23:30:19,0.0,0.0,0.0,8292619
S. SUDAN,2020-04-04 08:30:14,0.0,0.0,0.0,8325014
S. SUDAN,2020-04-04 11:30:14,0.0,0.0,0.0,8335814
S. SUDAN,2020-04-04 14:30:16,0.0,0.0,0.0,8346616
S. SUDAN,2020-04-04 17:30:18,0.0,0.0,0.0,8357418
S. SUDAN,2020-04-04 20:30:33,0.0,0.0,0.0,8368233
S. SUDAN,2020-04-04 23:30:05,0.0,0.0,0.0,8379005
S. SUDAN,2020-04-05 08:30:07,0.0,0.0,0.0,8411407
S. SUDAN,2020-04-05 11:30:03,0.0,0.0,0.0,8422203
S. SUDAN,2020-04-05 14:30:04,0.0,0.0,0.0,8433004
S. SUDAN,2020-04-05 17:40:33,1.0,0.0,0.0,8444433
S. SUDAN,2020-04-05 20:33:28,1.0,0.0,0.0,8454808
S. SUDAN,2020-04-05 23:30:02,1.0,0.0,0.0,8465402
S. SUDAN,2020-04-06 08:37:49,1.0,0.0,0.0,8498269
S. SUDAN,2020-04-06 11:30:05,1.0,0.0,0.0,8508605
S. SUDAN,2020-04-06 14:44:21,1.0,0.0,0.0,8520261
S. SUDAN,2020-04-06 17:30:04,1.0,0.0,0.0,8530204
S. SUDAN,2020-04-06 21:00:44,1.0,0.0,0.0,8542844
S. SUDAN,2020-04-07 00:00:03,1.0,0.0,0.0,8553603
S. SUDAN,2020-04-07 09:00:04,1.0,0.0,0.0,8586004
S. SUDAN,2020-04-07 12:15:51,1.0,0.0,0.0,8597751
S. SUDAN,2020-04-07 15:59:55,1.0,0.0,0.0,8611195
S. SUDAN,2020-04-07 18:03:46,1.0,0.0,0.0,8618626
S. SUDAN,2020-04-07 21:32:15,1.0,0.0,0.0,8631135
S. SUDAN,2020-04-08 00:00:04,1.0,0.0,0.0,8640004
S. SUDAN,2020-04-08 09:00:46,2.0,0.0,0.0,8672446
S. SUDAN,2020-04-08 12:21:18,2.0,0.0,0.0,8684478
S. SUDAN,2020-04-08 15:04:46,2.0,0.0,0.0,8694286
S. SUDAN,2020-04-08 18:11:16,2.0,0.0,0.0,8705476
S. SUDAN,2020-04-08 21:33:56,2.0,0.0,0.0,8717636
S. SUDAN,2020-04-09 00:14:12,2.0,0.0,0.0,8727252
S. SUDAN,2020-04-09 11:19:24,2.0,0.0,0.0,8767164
S. SUDAN,2020-04-09 12:07:24,2.0,0.0,0.0,8770044
S. SUDAN,2020-04-09 14:57:09,2.0,0.0,0.0,8780229
S. SUDAN,2020-04-09 18:00:02,2.0,0.0,0.0,8791202
S. SUDAN,2020-04-10 01:06:14,3.0,0.0,0.0,8816774
S. SUDAN,2020-04-10 09:04:46,3.0,0.0,0.0,8845486
S. SUDAN,2020-04-10 12:09:17,3.0,0.0,0.0,8856557
S. SUDAN,2020-04-10 14:55:51,3.0,0.0,0.0,8866551
S. SUDAN,2020-04-10 18:41:05,3.0,0.0,0.0,8880065
S. SUDAN,2020-04-10 21:59:17,4.0,0.0,0.0,8891957
S. SUDAN,2020-04-11 00:00:34,4.0,0.0,0.0,8899234
S. SUDAN,2020-04-11 09:01:32,4.0,0.0,0.0,8931692
S. SUDAN,2020-04-11 12:08:24,4.0,0.0,0.0,8942904
S. SUDAN,2020-04-11 17:00:40,4.0,0.0,0.0,8960440
S. SUDAN,2020-04-11 18:12:28,4.0,0.0,0.0,8964748
S. SUDAN,2020-04-11 21:44:19,4.0,0.0,0.0,8977459
S. SUDAN,2020-04-11 23:59:29,4.0,0.0,0.0,8985569
S. SUDAN,2020-04-12 09:00:42,4.0,0.0,0.0,9018042
S. SUDAN,2020-04-12 12:05:42,4.0,0.0,0.0,9029142
S. SUDAN,2020-04-12 15:09:25,4.0,0.0,0.0,9040165
S. SUDAN,2020-04-12 18:22:01,4.0,0.0,0.0,9051721
S. SUDAN,2020-04-12 20:59:25,4.0,0.0,0.0,9061165
S. SUDAN,2020-04-13 00:07:13,4.0,0.0,0.0,9072433
S. SUDAN,2020-04-13 09:26:16,4.0,0.0,0.0,9105976
S. SUDAN,2020-04-13 11:59:14,4.0,0.0,0.0,9115154
S. SUDAN,2020-04-13 15:13:01,4.0,0.0,0.0,9126781
S. SUDAN,2020-04-13 20:23:47,4.0,0.0,0.0,9145427
S. SUDAN,2020-04-13 21:01:27,4.0,0.0,0.0,9147687
S. SUDAN,2020-04-14 00:30:40,4.0,0.0,0.0,9160240
S. SUDAN,2020-04-14 09:09:09,4.0,0.0,0.0,9191349
S. SUDAN,2020-04-14 12:13:23,4.0,0.0,0.0,9202403
S. SUDAN,2020-04-14 15:49:28,4.0,0.0,0.0,9215368
S. SUDAN,2020-04-14 18:27:14,4.0,0.0,0.0,9224834
S. SUDAN,2020-04-14 21:18:50,4.0,0.0,0.0,9235130
S. SUDAN,2020-04-15 00:07:14,4.0,0.0,0.0,9245234
S. SUDAN,2020-04-15 09:00:09,4.0,0.0,0.0,9277209
S. SUDAN,2020-04-15 14:56:18,4.0,0.0,0.0,9298578
S. SUDAN,2020-04-15 19:52:38,4.0,0.0,0.0,9316358
S. SUDAN,2020-04-15 21:18:33,4.0,0.0,0.0,9321513
S. SUDAN,2020-04-16 00:51:15,4.0,0.0,0.0,9334275
S. SUDAN,2020-04-16 09:04:51,4.0,0.0,0.0,9363891
S. SUDAN,2020-04-16 12:05:08,4.0,0.0,0.0,9374708
S. SUDAN,2020-04-16 14:57:08,4.0,0.0,0.0,9385028
S. SUDAN,2020-04-16 17:58:25,4.0,0.0,0.0,9395905
S. SUDAN,2020-04-16 22:41:20,4.0,0.0,0.0,9412880
S. SUDAN,2020-04-17 01:32:36,4.0,0.0,0.0,9423156
S. SUDAN,2020-04-17 09:11:04,4.0,0.0,0.0,9450664
S. SUDAN,2020-04-17 12:02:01,4.0,0.0,0.0,9460921
S. SUDAN,2020-04-17 14:56:35,4.0,0.0,0.0,9471395
S. SUDAN,2020-04-17 18:39:21,4.0,0.0,0.0,9484761
S. SUDAN,2020-04-17 22:45:21,4.0,0.0,0.0,9499521
S. SUDAN,2020-04-18 08:54:14,4.0,0.0,0.0,9536054
S. SUDAN,2020-04-18 13:55:54,4.0,0.0,0.0,9554154
S. SUDAN,2020-04-18 15:41:06,4.0,0.0,0.0,9560466
S. SUDAN,2020-04-18 18:03:48,4.0,0.0,0.0,9569028
S. SUDAN,2020-04-19 00:17:39,4.0,0.0,0.0,9591459
S. SUDAN,2020-04-19 09:10:08,4.0,0.0,0.0,9623408
S. SUDAN,2020-04-19 15:11:32,4.0,0.0,0.0,9645092
S. SUDAN,2020-04-19 18:07:21,4.0,0.0,0.0,9655641
S. SUDAN,2020-04-19 21:01:51,4.0,0.0,0.0,9666111
S. SUDAN,2020-04-20 00:00:38,4.0,0.0,0.0,9676838
S. SUDAN,2020-04-20 12:46:45,4.0,0.0,0.0,9722805
S. SUDAN,2020-04-20 15:15:13,4.0,0.0,0.0,9731713
S. SUDAN,2020-04-20 18:00:55,4.0,0.0,0.0,9741655
S. SUDAN,2020-04-20 20:51:26,4.0,0.0,0.0,9751886
S. SUDAN,2020-04-20 23:57:35,4.0,0.0,0.0,9763055
S. SUDAN,2020-04-21 12:05:06,4.0,0.0,0.0,9806706
S. SUDAN,2020-04-21 18:05:54,4.0,0.0,0.0,9828354
S. SUDAN,2020-04-21 20:56:52,4.0,0.0,0.0,9838612
S. SUDAN,2020-04-22 10:13:50,4.0,0.0,0.0,9886430
S. SUDAN,2020-04-22 12:01:15,4.0,0.0,0.0,9892875
S. SUDAN,2020-04-22 15:04:35,4.0,0.0,0.0,9903875
S. SUDAN,2020-04-23 00:41:34,4.0,0.0,0.0,9938494
